0,1
3GP,_____MEDIA
3gp,_____MEDIA
DS_Store,_____OTHER_UNKNOWN
PDF,_____DOCUMENTS
a,_____OTHER_UNKNOWN
ai,_____PHOTOSHOP
aif,_____MEDIA
aiff,_____MEDIA
apalbum,_____OTHER_UNKNOWN
apdb,_____OTHER_UNKNOWN
apfolder,_____OTHER_UNKNOWN
apmaster,_____OTHER_UNKNOWN
apversion,_____OTHER_UNKNOWN
asc,_____OTHER_UNKNOWN
asf,_____MEDIA
asm,_____DOCUMENTS
asx,_____MEDIA
atom,_____DEVELOPER
au,_____OTHER_UNKNOWN
avi,_____MEDIA
bat,_____OTHER_UNKNOWN
bin,_____OTHER_UNKNOWN
bmp,_____PHOTOS
bz2,_____OTHER_UNKNOWN
c,_____OTHER_UNKNOWN
cab,_____OTHER_UNKNOWN
cc,_____OTHER_UNKNOWN
chm,_____OTHER_UNKNOWN
class,_____OTHER_UNKNOWN
com,_____OTHER_UNKNOWN
comic__ComicData,_____OTHER_UNKNOWN
conf,_____OTHER_UNKNOWN
cpp,_____OTHER_UNKNOWN
crt,_____OTHER_UNKNOWN
css,_____DEVELOPER
csv,_____DOCUMENTS
cxx,_____OTHER_UNKNOWN
data,_____OTHER_UNKNOWN
db,_____OTHER_UNKNOWN
deb,_____OTHER_UNKNOWN
der,_____OTHER_UNKNOWN
diff,_____OTHER_UNKNOWN
djv,_____OTHER_UNKNOWN
djvu,_____OTHER_UNKNOWN
dll,_____OTHER_UNKNOWN
dmg,_____ZIP
doc,_____DOCUMENTS
document,_____DOCUMENTS
docx,_____DOCUMENTS
dot,_____OTHER_UNKNOWN
dtd,_____OTHER_UNKNOWN
dvi,_____OTHER_UNKNOWN
ear,_____OTHER_UNKNOWN
eml,_____OTHER_UNKNOWN
eps,_____DOCUMENTS
erb,_____DEVELOPER
exe,_____DEVELOPER
f,_____OTHER_UNKNOWN
f77,_____OTHER_UNKNOWN
f90,_____OTHER_UNKNOWN
flv,_____MEDIA
for,_____OTHER_UNKNOWN
gem,_____DEVELOPER
gemspec,_____DEVELOPER
gif,_____PHOTOS
gz,_____ZIP
h,_____OTHER_UNKNOWN
hh,_____OTHER_UNKNOWN
htm,_____DEVELOPER
html,_____DEVELOPER
iPhoto,_____OTHER_UNKNOWN
ico,_____OTHER_UNKNOWN
ics,_____DOCUMENTS
ifb,_____DOCUMENTS
ini,_____OTHER_UNKNOWN
ipspot,_____OTHER_UNKNOWN
ipspot_update,_____OTHER_UNKNOWN
iso,_____OTHER_UNKNOWN
jar,_____OTHER_UNKNOWN
java,_____DEVELOPER
jnlp,_____OTHER_UNKNOWN
jpeg,_____PHOTOS
jpg,_____PHOTOS
js,_____DEVELOPER
json,_____DEVELOPER
log,_____OTHER_UNKNOWN
m3u,_____MEDIA
