0,1
application/CDFV2,_____OTHER_UNKNOWN
application/csv,_____DOCUMENTS
application/epub+zip,_____ZIP
application/gzip,_____ZIP
application/java-archive,_____OTHER_UNKNOWN
application/javascript,_____DEVELOPER
application/json,_____DEVELOPER
application/msword,_____DOCUMENTS
application/octet-stream,_____OTHER_UNKNOWN
application/pdf,_____DOCUMENTS
application/pgp-signature,_____OTHER_UNKNOWN
application/vnd.ms-excel,_____DOCUMENTS
application/vnd.ms-fontobject,_____DOCUMENTS
application/vnd.ms-opentype,_____DOCUMENTS
application/vnd.ms-powerpoint,_____DOCUMENTS
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,_____DOCUMENTS
application/vnd.openxmlformats-officedocument.wordprocessingml.document,_____DOCUMENTS
application/vnd.sketchup.skp,_____PHOTOSHOP
application/x-7z-compressed,_____ZIP
application/x-dosexec,_____OTHER_UNKNOWN
application/x-executable,_____OTHER_UNKNOWN
application/x-font-sfn,_____OTHER_UNKNOWN
application/x-fpt,_____OTHER_UNKNOWN
application/x-gettext-translation,_____OTHER_UNKNOWN
application/x-git,_____ZIP
application/x-mach-binary,_____OTHER_UNKNOWN
application/x-sharedlib,_____OTHER_UNKNOWN
application/x-shockwave-flash,_____OTHER_UNKNOWN
application/x-sqlite3,_____DEVELOPER
application/x-tar,_____ZIP
application/x-wine-extension-ini,_____OTHER_UNKNOWN
application/x-xar,_____OTHER_UNKNOWN
application/x-xz,_____OTHER_UNKNOWN
application/zip,_____ZIP
application/zlib,_____ZIP
audio/amr,_____PHOTOS
audio/mpeg,_____PHOTOS
audio/x-hx-aac-adts,_____OTHER_UNKNOWN
audio/x-m4a,_____MEDIA
audio/x-wav,_____MEDIA
font/sfnt,_____DOCUMENTS
image/gif,_____PHOTOS
image/heic,_____PHOTOS
image/jpeg,_____PHOTOS
image/png,_____PHOTOS
image/svg+xml,_____PHOTOS
image/tiff,_____PHOTOS
image/vnd.adobe.photoshop,_____PHOTOSHOP
image/vnd.dwg,_____PHOTOS
image/vnd.microsoft.icon,_____OTHER_UNKNOWN
image/webp,_____PHOTOS
image/x-canon-cr2,_____PHOTOS
image/x-eps,_____PHOTOS
image/x-portable-pixmap,_____PHOTOS
image/x-tga,_____PHOTOS
inode/x-empty,_____OTHER_UNKNOWN
text/calendar,_____MEDIA
text/html,_____DEVELOPER
text/plain,_____DOCUMENTS
text/rtf,_____DOCUMENTS
text/troff,_____DOCUMENTS
text/vcard,_____DOCUMENTS
text/x-Algol68,_____OTHER_UNKNOWN
text/x-asm,_____OTHER_UNKNOWN
text/x-bytecode.python,_____DEVELOPER
text/x-c,_____OTHER_UNKNOWN
text/x-c++,_____OTHER_UNKNOWN
text/x-diff,_____OTHER_UNKNOWN
text/x-java,_____DEVELOPER
text/x-lisp,_____DEVELOPER
text/x-makefile,_____OTHER_UNKNOWN
text/x-msdos-batch,_____OTHER_UNKNOWN
text/x-pascal,_____OTHER_UNKNOWN
text/x-perl,_____OTHER_UNKNOWN
text/x-php,_____DEVELOPER
text/x-po,_____OTHER_UNKNOWN
text/x-ruby,_____DEVELOPER
text/x-script.python,_____DEVELOPER
text/x-shellscript,_____DEVELOPER
text/xml,_____DOCUMENTS
video/3gpp,_____OTHER_UNKNOWN
video/mp4,_____PHOTOS
video/quicktime,_____PHOTOS
video/x-m4v,_____PHOTOS
video/x-msvideo,_____PHOTOS
