,0,1
0,application/CDFV2,_____OTHER_UNKNOWN
1,application/csv,_____DOCUMENTS
2,application/epub+zip,_____ZIP
3,application/gzip,_____ZIP
4,application/java-archive,_____OTHER_UNKNOWN
5,application/javascript,_____DEVELOPER
6,application/json,_____DEVELOPER
7,application/mac-binhex40,_____OTHER_UNKNOWN
8,application/msword,_____DOCUMENTS
9,application/mxf,_____OTHER_UNKNOWN
10,application/octet-stream,_____OTHER_UNKNOWN
11,application/pdf,_____DOCUMENTS
12,application/pgp-signature,_____OTHER_UNKNOWN
13,application/vnd.iccprofile,_____OTHER_UNKNOWN
14,application/vnd.ms-excel,_____DOCUMENTS
15,application/vnd.ms-fontobject,_____DOCUMENTS
16,application/vnd.ms-opentype,_____DOCUMENTS
17,application/vnd.ms-powerpoint,_____DOCUMENTS
18,application/vnd.openxmlformats-officedocument.presentationml.presentation,_____DOCUMENTS
19,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,_____DOCUMENTS
20,application/vnd.openxmlformats-officedocument.wordprocessingml.document,_____DOCUMENTS
21,application/vnd.sketchup.skp,_____PHOTOSHOP
22,application/x-7z-compressed,_____ZIP
23,application/x-archive,_____OTHER_UNKNOWN
24,application/x-dmp,_____OTHER_UNKNOWN
25,application/x-dosexec,_____OTHER_UNKNOWN
26,application/x-executable,_____OTHER_UNKNOWN
27,application/x-font-sfn,_____OTHER_UNKNOWN
28,application/x-fpt,_____OTHER_UNKNOWN
29,application/x-gettext-translation,_____OTHER_UNKNOWN
30,application/x-git,_____ZIP
31,application/x-mach-binary,_____OTHER_UNKNOWN
32,application/x-rpm,_____OTHER_UNKNOWN
33,application/x-sharedlib,_____OTHER_UNKNOWN
34,application/x-shockwave-flash,_____OTHER_UNKNOWN
35,application/x-sqlite3,_____DEVELOPER
36,application/x-tar,_____ZIP
37,application/x-wine-extension-ini,_____OTHER_UNKNOWN
38,application/x-xar,_____OTHER_UNKNOWN
39,application/x-xz,_____OTHER_UNKNOWN
40,application/zip,_____ZIP
41,application/zlib,_____ZIP
42,audio/amr,_____PHOTOS
43,audio/mpeg,_____PHOTOS
44,audio/x-aiff,_____MEDIA
45,audio/x-hx-aac-adts,_____OTHER_UNKNOWN
46,audio/x-m4a,_____MEDIA
47,audio/x-mp4a-latm,_____MEDIA
48,audio/x-wav,_____MEDIA
49,font/sfnt,_____DOCUMENTS
50,font/ttf,_____PHOTOSHOP
51,image/bmp,_____PHOTOS
52,image/gif,_____PHOTOS
53,image/heic,_____PHOTOS
54,image/jpeg,_____PHOTOS
55,image/png,_____PHOTOS
56,image/svg+xml,_____PHOTOS
57,image/tiff,_____PHOTOS
58,image/vnd.adobe.photoshop,_____PHOTOSHOP
59,image/vnd.dwg,_____PHOTOS
60,image/vnd.microsoft.icon,_____OTHER_UNKNOWN
61,image/webp,_____PHOTOS
62,image/x-canon-cr2,_____PHOTOS
63,image/x-eps,_____PHOTOS
64,image/x-exr,_____PHOTOS
65,image/x-icns,_____OTHER_UNKNOWN
66,image/x-mvg,_____PHOTOS
67,image/x-portable-pixmap,_____PHOTOS
68,image/x-tga,_____PHOTOS
69,inode/x-empty,_____OTHER_UNKNOWN
70,message/rfc822,_____OTHER_UNKNOWN
71,text/calendar,_____MEDIA
72,text/html,_____DEVELOPER
73,text/plain,_____DOCUMENTS
74,text/rtf,_____DOCUMENTS
75,text/troff,_____DOCUMENTS
76,text/vcard,_____DOCUMENTS
77,text/x-Algol68,_____OTHER_UNKNOWN
78,text/x-asm,_____OTHER_UNKNOWN
79,text/x-bytecode.python,_____DEVELOPER
80,text/x-c,_____OTHER_UNKNOWN
81,text/x-c++,_____OTHER_UNKNOWN
82,text/x-clojure,_____OTHER_UNKNOWN
83,text/x-diff,_____OTHER_UNKNOWN
84,text/x-java,_____DEVELOPER
85,text/x-lisp,_____DEVELOPER
86,text/x-makefile,_____OTHER_UNKNOWN
87,text/x-msdos-batch,_____OTHER_UNKNOWN
88,text/x-objective-c,_____OTHER_UNKNOWN
89,text/x-pascal,_____OTHER_UNKNOWN
90,text/x-perl,_____OTHER_UNKNOWN
91,text/x-php,_____DEVELOPER
92,text/x-po,_____OTHER_UNKNOWN
93,text/x-ruby,_____DEVELOPER
94,text/x-script.python,_____DEVELOPER
95,text/x-shellscript,_____DEVELOPER
96,text/x-tex,_____OTHER_UNKNOWN
97,text/xml,_____DOCUMENTS
98,video/3gpp,_____OTHER_UNKNOWN
99,video/mp4,_____PHOTOS
100,video/mpeg,_____PHOTOS
101,video/quicktime,_____PHOTOS
102,video/x-m4v,_____PHOTOS
103,video/x-msvideo,_____PHOTOS
