,state,fips,votes_total,per_dem,per_gop,votes_dem,votes_gop
0,Alaska,02901,4251,0.41,0.55,1723,2322
1,Alaska,02910,4886,0.18,0.78,863,3835
2,Alaska,02911,5196,0.25,0.72,1289,3740
3,Alaska,02912,2309,0.21,0.77,482,1773
4,Alaska,02913,3229,0.23,0.71,752,2299
5,Alaska,02914,4050,0.22,0.74,882,2984
6,Alaska,02915,2189,0.4,0.55,879,1207
7,Alaska,02916,3057,0.39,0.56,1196,1721
8,Alaska,02917,2497,0.48,0.48,1192,1197
9,Alaska,02918,2966,0.53,0.44,1576,1293
10,Alaska,02919,2683,0.5,0.46,1332,1236
11,Alaska,02902,2344,0.33,0.61,782,1424
12,Alaska,02920,3050,0.56,0.41,1697,1242
13,Alaska,02921,3364,0.47,0.49,1565,1657
14,Alaska,02922,5001,0.36,0.62,1776,3079
15,Alaska,02923,4202,0.4,0.57,1661,2388
16,Alaska,02924,5442,0.34,0.63,1831,3454
17,Alaska,02925,4866,0.37,0.59,1812,2889
18,Alaska,02926,5188,0.33,0.64,1724,3301
19,Alaska,02927,4805,0.38,0.58,1807,2800
20,Alaska,02928,5610,0.38,0.59,2150,3306
21,Alaska,02929,1865,0.16,0.81,295,1511
22,Alaska,02903,4697,0.17,0.78,811,3664
23,Alaska,02930,1637,0.15,0.81,245,1334
24,Alaska,02931,2856,0.22,0.74,616,2123
25,Alaska,02932,711,0.33,0.63,233,448
26,Alaska,02933,4595,0.62,0.35,2828,1607
27,Alaska,02934,5360,0.46,0.5,2480,2668
28,Alaska,02935,1216,0.33,0.65,398,787
29,Alaska,02936,4263,0.32,0.64,1344,2731
30,Alaska,02937,173,0.48,0.46,83,80
31,Alaska,02938,249,0.47,0.47,118,117
32,Alaska,02939,1013,0.59,0.36,594,363
33,Alaska,02904,4134,0.54,0.42,2243,1718
34,Alaska,02940,82,0.55,0.3,45,25
35,Alaska,02905,3834,0.43,0.53,1645,2042
36,Alaska,02906,3859,0.24,0.7,942,2711
37,Alaska,02907,5377,0.18,0.79,950,4239
38,Alaska,02908,2866,0.18,0.79,512,2271
39,Alaska,02909,1913,0.21,0.74,405,1413
40,Alabama,01001,27639,0.27,0.72,7450,19764
41,Alabama,01003,108945,0.22,0.76,24344,83055
42,Alabama,01005,10457,0.46,0.54,4772,5605
43,Alabama,01007,9573,0.21,0.78,1982,7508
44,Alabama,01009,27459,0.1,0.9,2627,24595
45,Alabama,01011,4603,0.75,0.25,3439,1143
46,Alabama,01013,9466,0.42,0.58,3953,5448
47,Alabama,01015,50743,0.3,0.69,15118,34964
48,Alabama,01017,15269,0.42,0.57,6356,8748
49,Alabama,01019,12275,0.13,0.86,1619,10562
50,Alabama,01021,19260,0.16,0.83,3056,16052
51,Alabama,01023,7461,0.42,0.58,3126,4294
52,Alabama,01025,13102,0.44,0.56,5730,7310
53,Alabama,01027,6913,0.18,0.81,1262,5589
54,Alabama,01029,7210,0.09,0.9,672,6472
55,Alabama,01031,22180,0.23,0.76,5050,16832
56,Alabama,01033,24668,0.29,0.7,7057,17311
57,Alabama,01035,6419,0.46,0.54,2951,3435
58,Alabama,01037,5472,0.33,0.66,1794,3626
59,Alabama,01039,17418,0.16,0.84,2717,14579
60,Alabama,01041,6617,0.26,0.74,1700,4864
61,Alabama,01043,41751,0.11,0.88,4454,36804
62,Alabama,01045,19699,0.26,0.72,5154,14281
63,Alabama,01047,17861,0.68,0.31,12228,5523
64,Alabama,01049,29322,0.15,0.84,4271,24744
65,Alabama,01051,40891,0.25,0.74,10304,30089
66,Alabama,01053,15861,0.31,0.68,4894,10844
67,Alabama,01055,47460,0.24,0.74,11487,35343
68,Alabama,01057,8756,0.16,0.83,1390,7295
69,Alabama,01059,12564,0.17,0.82,2085,10364
70,Alabama,01061,12538,0.13,0.86,1592,10844
71,Alabama,01063,5179,0.84,0.16,4329,850
72,Alabama,01065,7922,0.59,0.4,4687,3190
73,Alabama,01067,9266,0.28,0.71,2589,6593
74,Alabama,01069,45750,0.28,0.71,12738,32384
75,Alabama,01071,23602,0.16,0.83,3709,19644
76,Alabama,01073,324675,0.56,0.43,180936,138443
77,Alabama,01075,7187,0.14,0.86,978,6168
78,Alabama,01077,44149,0.27,0.72,11872,31578
79,Alabama,01079,15957,0.22,0.77,3544,12266
80,Alabama,01081,70980,0.39,0.59,27600,42019
81,Alabama,01083,48754,0.28,0.7,13510,34337
82,Alabama,01085,6830,0.73,0.27,4968,1835
83,Alabama,01087,8697,0.81,0.18,7084,1539
84,Alabama,01089,193955,0.45,0.53,86885,102395
85,Alabama,01091,10882,0.5,0.49,5476,5337
86,Alabama,01093,13786,0.11,0.88,1457,12190
87,Alabama,01095,39492,0.15,0.84,5880,33094
