user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
hayleyburnopp,61023719413813248,6843178546555358470,Showed the hubby the titties from the window 😍🏠 #dropemoutchallenge #ForYou #Married #xybcba @guyintheskyllc,1593301668,11,https://www.tiktok.com/@hayleyburnopp/video/6843178546555358470?lang=en,2400000,123100,9631,21000000
jasonderulo,21609287,6846866106175589637,I don’t like surprises @shluvhouse,1594160244,22,https://www.tiktok.com/@jasonderulo/video/6846866106175589637?lang=en,4300000,95300,36100,26000000
foodies,6767621542903940102,6840633000212843782,Don’t want to go to Taco Bell? Make it at home! Follow @foods for more amazing recipes! 💕 #foodies #HowTo (via @marissacoughanour ),1592708988,28,https://www.tiktok.com/@foodies/video/6840633000212843782?lang=en,1100000,141500,5906,8400000
smallestspark,6531145382084214785,6852397473873349893,Reply to @k2glassart I still got it,1595448116,19,https://www.tiktok.com/@smallestspark/video/6852397473873349893?lang=en,4100000,97800,20800,24900000
spencerx,6524904798586672143,6844703625441332486,Coño 🗣🔥🎶,1593656754,9,https://www.tiktok.com/@spencerx/video/6844703625441332486?lang=en,2500000,110500,21600,22100000
_iliyana,6766050472225162245,6860104995933605126,PLEASE ? 😔 #rororor #excuseme #comedy #funnyvideos #moodflip #HurtMyFeelings #stepintolove #viral #fyp #foryou #please #cakes #hungry #lol,1597242668,8,https://www.tiktok.com/@_iliyana/video/6860104995933605126?lang=en,16800,426,299,107900
moniquemendoza3,4608456,6828325239454272774,He’s never going to trust me again 😂 #fyp #foryou #comedy #boyfriend,1589843362,8,https://www.tiktok.com/@moniquemendoza3/video/6828325239454272774?lang=en,133000,11300,640,1900000
duniahernandez91,6780466647322051590,6831402494829055238,,1590559842,15,https://www.tiktok.com/@duniahernandez91/video/6831402494829055238?lang=en,93500,447,7065,1500000
mdpears15,6658733764518117382,6831611772202470662,You don’t like it?! #nurses #nurselife #funny @cassidysullivan39,1590608568,9,https://www.tiktok.com/@mdpears15/video/6831611772202470662?lang=en,117000,1525,383,2300000
yzeqeztimmons,6702142438133842950,6859783969743965446,Reply to @xxxtentacionfan_1010 🥱🥱who y’all got??👀👀 I’m back at em send the names,1597167922,15,https://www.tiktok.com/@yzeqeztimmons/video/6859783969743965446?lang=en,33000,7678,3416,158900
brentrivera,7445731,6846803192156654853,True love❤️❤️😂 @pierson,1594145596,15,https://www.tiktok.com/@brentrivera/video/6846803192156654853?lang=en,2900000,30000,42300,30100000
reppnforchrist,6819434053655151621,6858334296432839942,BREAKING NEWS! #greenscreenvideo #reppnforchrist #fyp #walk #news #story #storytime #doctor #nurse #hope #jesus #god #family #new #legs #wow #fy #wife,1596830393,50,https://www.tiktok.com/@reppnforchrist/video/6858334296432839942?lang=en,57200,5501,616,205900
maskman992,6846340492750390277,6852196081380429061,#Bungee #bungeejumping_ #birthdaygifts a happy day#party,1595401230,10,https://www.tiktok.com/@maskman992/video/6852196081380429061?lang=en,483100,8322,2022,14500000
hannahhughes_,6613458793144745990,6830943931908295942,#nosepainting write your age 😩😂 harder than it looks #cup #foryoupage #foru,1590453073,10,https://www.tiktok.com/@hannahhughes_/video/6830943931908295942?lang=en,23600,91,398,491300
stokestwins,6616242003971768325,6851642931275779333,Alex must have thought it was a ghost,1595272436,12,https://www.tiktok.com/@stokestwins/video/6851642931275779333?lang=en,2000000,14800,7845,16500000
infinitememess,6844265024614712325,6857237531411369221,share when you see a ledgendry person pt.1 #fyp #stanlee #juice #jesus #michealjordan #elvispresley #ledglow,1596575032,11,https://www.tiktok.com/@infinitememess/video/6857237531411369221?lang=en,166700,57700,4136,623700
