user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
washingtonpost,6665748878039842822,6860133438444424453,Our fifth haiku for #haikuweek. Thanks Ava!,1597249289,8,https://www.tiktok.com/@washingtonpost/video/6860133438444424453?lang=en,3010,0,34,15200
washingtonpost,6665748878039842822,6859797412618243334,"Incredible haiku, Ellie. Thanks for sending it in for #haikuweek",1597171052,20,https://www.tiktok.com/@washingtonpost/video/6859797412618243334?lang=en,3054,16,44,12200
washingtonpost,6665748878039842822,6859794965694795013,"#HaikuWeek continues! Well written, Andrew. Very realistic.",1597170481,10,https://www.tiktok.com/@washingtonpost/video/6859794965694795013?lang=en,3464,28,28,17000
washingtonpost,6665748878039842822,6859433845356383494,It’s #HaikuWeek! This haiku was submitted by Finn Beaver. No people were harmed in the making of this TikTok.,1597086402,15,https://www.tiktok.com/@washingtonpost/video/6859433845356383494?lang=en,6038,61,74,23000
washingtonpost,6665748878039842822,6859431080357940485,"It’s #HaikuWeek! I’m reading my ten favorite haiku poems. We’ve received almost 4000 (so far). Here’s the first one, by Sarah Gorman.",1597085758,7,https://www.tiktok.com/@washingtonpost/video/6859431080357940485?lang=en,5981,42,53,28300
washingtonpost,6665748878039842822,6858311355259309317,Taking a much-needed vacation next week but will post TikToks reading your haikus. #HaikuTikTok,1596825053,15,https://www.tiktok.com/@washingtonpost/video/6858311355259309317?lang=en,20600,532,365,97400
washingtonpost,6665748878039842822,6858279939779628293,That’s what sisters are for I guess #ExecutiveOrder,1596817739,16,https://www.tiktok.com/@washingtonpost/video/6858279939779628293?lang=en,7979,51,89,32800
washingtonpost,6665748878039842822,6857961215008787718,Everyone has a favorite,1596743529,8,https://www.tiktok.com/@washingtonpost/video/6857961215008787718?lang=en,3478,96,82,26200
washingtonpost,6665748878039842822,6857896118257192197,Big if true. #taylorswift,1596728385,17,https://www.tiktok.com/@washingtonpost/video/6857896118257192197?lang=en,6999,266,70,34100
washingtonpost,6665748878039842822,6857547478661729541,He’s different okay,1596647198,17,https://www.tiktok.com/@washingtonpost/video/6857547478661729541?lang=en,9338,433,170,54200
washingtonpost,6665748878039842822,6857525500852587782,Allan Lichtman has correctly predicted eight of the last nine elections. He predicted a Biden victory in the New York Times today #2020election,1596642083,10,https://www.tiktok.com/@washingtonpost/video/6857525500852587782?lang=en,39000,2222,706,251100
washingtonpost,6665748878039842822,6857237083401014534,Jacqueline’s ‘Power Up’ newsletter got a makeover 🌈,1596574929,15,https://www.tiktok.com/@washingtonpost/video/6857237083401014534?lang=en,1193,4,10,15100
